Frequency (Hz),Voltage (V),Current (mA),Power (mW)
145000,11.468,1238.2317073170732,14200.041219512195
145000,11.492,1235.3658536585365,14196.824390243903
145000,11.464,1242.0121951219512,14238.427804878049
145000,11.484,1239.4512195121952,14233.85780487805
145000,11.488,1242.2560975609756,14271.038048780487
146000,11.504,1202.8658536585367,13837.768780487806
146000,11.54,1202.9878048780488,13882.479268292682
146000,11.476,1203.0487804878048,13806.187804878049
146000,11.504,1204.8780487804877,13860.917073170729
146000,11.5,1205.121951219512,13858.902439024389
147000,11.5,1171.6463414634147,13473.93292682927
147000,11.52,1168.5365853658536,13461.541463414633
147000,11.524,1170.0,13483.079999999998
147000,11.476,1173.90243902439,13471.704390243902
147000,11.524,1166.7682926829268,13445.837804878047
148000,11.496,1137.3170731707316,13074.597073170731
148000,11.532,1148.5365853658536,13244.923902439024
148000,11.512,1136.5243902439024,13083.668780487806
148000,11.532,1140.5487804878048,13152.808536585366
148000,11.528,1136.8292682926829,13105.36780487805
149000,11.572,1109.5731707317073,12839.980731707315
149000,11.556,1107.439024390244,12797.565365853658
149000,11.508,1108.048780487805,12751.42536585366
149000,11.54,1110.7317073170732,12817.843902439025
149000,11.548,1110.7317073170732,12826.72975609756
150000,11.536,1082.560975609756,12488.423414634146
150000,11.536,1079.6951219512193,12455.362926829266
150000,11.548,1088.780487804878,12573.23707317073
150000,11.568,1084.8170731707316,12549.163902439022
150000,11.584,1083.841463414634,12555.21951219512
151000,11.528,1065.0,12277.32
151000,11.548,1060.5487804878048,12247.21731707317
151000,11.6,1058.2317073170732,12275.487804878048
151000,11.564,1055.4878048780488,12205.660975609757
151000,11.572,1059.5731707317073,12261.380731707315
152000,11.564,1034.0243902439024,11957.458048780487
152000,11.572,1035.2439024390244,11979.842439024389
152000,11.576,1035.4268292682927,11986.100975609757
152000,11.572,1035.6707317073171,11984.781707317074
152000,11.576,1035.4268292682927,11986.100975609757
153000,11.584,1024.2073170731708,11864.41756097561
153000,11.592,1014.0243902439023,11754.570731707316
153000,11.584,1013.7195121951219,11742.926829268292
153000,11.568,1013.109756097561,11719.653658536585
153000,11.576,1015.4268292682926,11754.580975609757
154000,11.584,992.5,11497.119999999999
154000,11.592,995.4268292682927,11538.98780487805
154000,11.536,999.3292682926829,11528.26243902439
154000,11.596,995.6707317073171,11545.79780487805
154000,11.588,995.548780487805,11536.419268292682
155000,11.572,980.7317073170732,11349.02731707317
155000,11.632,982.6829268292682,11430.567804878048
155000,11.596,976.219512195122,11320.241463414635
155000,11.604,979.2073170731708,11362.721707317072
155000,11.592,979.0243902439024,11348.850731707318
156000,11.6,959.329268292683,11128.219512195123
156000,11.612,964.939024390244,11204.871951219513
156000,11.62,962.1341463414634,11179.998780487804
156000,11.6,965.0,11194.0
156000,11.604,963.5975609756098,11181.586097560976
157000,11.632,946.1585365853658,11005.716097560975
157000,11.6,950.2439024390244,11022.829268292682
157000,11.628,947.9878048780488,11023.202195121952
157000,11.6,947.1951219512194,10987.463414634145
157000,11.588,947.8658536585366,10983.86951219512
158000,11.612,936.951219512195,10879.877560975609
158000,11.592,934.6951219512196,10834.985853658538
158000,11.616,934.9390243902438,10860.251707317073
158000,11.6,938.8414634146342,10890.560975609756
158000,11.592,937.1951219512194,10863.965853658536
159000,11.616,924.2073170731708,10735.592195121952
159000,11.6,923.109756097561,10708.073170731706
159000,11.62,923.3536585365854,10729.369512195122
159000,11.632,921.829268292683,10722.718048780487
159000,11.624,923.2926829268293,10732.354146341464
160000,11.624,916.1585365853658,10649.426829268294
160000,11.62,913.9024390243903,10619.546341463414
160000,11.608,914.2682926829268,10612.826341463415
160000,11.588,918.2317073170732,10640.469024390244
160000,11.624,914.0853658536585,10625.328292682927
161000,11.592,905.1219512195122,10492.173658536585
161000,11.632,905.1829268292682,10529.087804878049
161000,11.624,907.3780487804878,10547.362439024391
161000,11.664,904.5731707317073,10550.941463414632
161000,11.608,904.5731707317073,10500.285365853659
